ID,Address,Price_€,Rooms,Bathrooms,Size_m2,Price_m2,Property_type,Seller_type,City,Neightbourhood,Links,Description,Date_Scraped
id2328002583692,Piso  Carrer del consell de cent,299000,3,1,85,3518,FLAT,SECOND_HAND,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-piso-sagrada_familia-barcelona-i2328002583692.htm?pag=45&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Piso de 85 m2 construidos ubicado en la derecha del Eixample, muy cerca de la nueva zona de Las Glorias. Está situado en...",2023-06-18
id9912004381837,Piso  en  Verdum. Piso con 2 habitaciones con calefacción,110000,2,1,43,2558,FLAT,SECOND_HAND,Barcelona,Verdum,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_calefaccion_verdum-barcelona-i9912004381837.htm?pag=45&hab=1&ban=1&f=&geo=p&from=list&lo=55,"JTO ARTESANIA. Piso TODO EXTERIOR, con luz natural durante todo el dia, en perfectas condiciones PARA ENTRAR A VIVIR. Di...",2023-06-18
id2875004275239,Piso  en  Prosperitat. Piso con 3 habitaciones,149000,3,2,91,1637,FLAT,SECOND_HAND,Barcelona,Prosperitat,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_prosperitat-barcelona-i2875004275239.htm?pag=45&hab=1&ban=1&f=&geo=p&from=list&lo=55,"OPORTUNIDAD PARA INVERSORES! Este espacioso piso de 91 metros cuadrados, ubicado en la planta baja, cuenta con 3 ampl...",2023-06-18
id16963003007429,Ático  Carrer de la canuda. Ático con 2 habitaciones con ascensor y aire acondicionado,525000,2,1,87,6034,PENTHOUSE,SECOND_HAND,Barcelona,Gòtic,https://www.habitaclia.com/comprar-atico-con_2_habitaciones_con_ascensor_y_aire_acondicionado_gotic-barcelona-i16963003007429.htm?pag=45&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Coldwell Banker Eminent presenta encantador ático recién reformado, situado en un edificio de 1885 totalmente rehabilita...",2023-06-18
id38576000000472,"Piso  en  Calle jadraque 12. Junto calle dante, con balcon, metro linea 5 y mercado municipal",159000,3,1,60,2650,FLAT,SECOND_HAND,Barcelona,Carmel,https://www.habitaclia.com/comprar-piso-junto_calle_dante_con_balcon_metro_linea_5_y_mercado_municipal_jadraque_12_carmel-barcelona-i38576000000472.htm?pag=45&hab=1&ban=1&f=&geo=p&from=list&lo=55,"VIVIENDA EXTERIOR CON BALCON, JUNTO CALLE DANTE. ZONA TRANQUILA. Tres habitaciones, comedor, cocina, baño, balcón. Comun...",2023-06-18
id29169000001760,Ático  Carrer de padilla,685000,3,2,93,7366,PENTHOUSE,SECOND_HAND,Barcelona,Sagrada Família,https://www.habitaclia.com/comprar-atico-sagrada_familia-barcelona-i29169000001760.htm?pag=46&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Ático con espectaculares vistas a Sagrada Familia.   Vivienda nueva a estrenar en el corazón de Barcelona, dispone de...",2023-06-18
id29169000001904,Piso  Carrer d'avinyó,745000,3,2,106,7028,FLAT,SECOND_HAND,Barcelona,Gòtic,https://www.habitaclia.com/comprar-piso-gotic-barcelona-i29169000001904.htm?pag=46&hab=1&ban=1&f=&geo=p&from=list&lo=55,"En el emblemático barrio del Gotic , el barrio con más personalidad de la ciudad Condal delimitado por Las Ramblas, Vía...",2023-06-18
id29169000001888,Piso  Carrer del príncep de viana,370000,2,1,60,6167,FLAT,SECOND_HAND,Barcelona,Raval,https://www.habitaclia.com/comprar-piso-raval-barcelona-i29169000001888.htm?pag=46&hab=1&ban=1&f=&geo=p&from=list&lo=55,Piso totalmente reformado junto al mercat de Sant Antoni.  Vivienda de 60m2 distribuidos en amplio y luminoso salón co...,2023-06-18
id10507004455222,Piso  en  La Marina del Prat Vermell. Obra nueva,370550,3,2,106,3496,FLAT,SECOND_HAND,Barcelona,La Marina del Prat Vermell,https://www.habitaclia.com/comprar-piso-obra_nueva_la_marina_del_prat_vermell-barcelona-i10507004455222.htm?pag=46&hab=1&ban=1&f=&geo=p&from=list&lo=55,"Próxima entrega ¿Conoces AQ Urban Fira? Un proyecto innovador y de reducido impacto ecológico, con el que evolucionamos...",2023-06-18
id38576000000434,Piso  en  La Teixonera. Piso reformado a 50 m metro l5 (taxonera) junto a parc vall hebr,114000,2,1,52,2192,FLAT,SECOND_HAND,Barcelona,La Teixonera,https://www.habitaclia.com/comprar-piso-reformado_a_50_m_metro_l5_taxonera_junto_a_parc_vall_hebr_la_teixonera-barcelona-i38576000000434.htm?pag=46&hab=1&ban=1&f=&geo=p&from=list&lo=55,PISO REFORMADO A 50 M PARADA L5 (TAXONERA) JUNTO A PARC VALL HEBRON Y ZONA DEPORTIVA . El inmueble dispone de 2 habitaci...,2023-06-18
